image,xmin,ymin,xmax,ymax,class_name
2015_00401.jpg,109,23,201,120,bicycle
2015_00401.jpg,124,2,200,98,people
2015_03331.jpg,5,298,111,405,cat
2015_03331.jpg,109,222,197,394,cat
2015_03331.jpg,194,201,279,433,cat
2015_03331.jpg,295,250,430,453,cat
2015_03331.jpg,461,269,564,404,cat
2015_03331.jpg,362,261,425,324,cat
2015_00630.jpg,63,320,196,534,bicycle
2015_00630.jpg,350,347,397,422,motorbike
2015_00056.jpg,423,261,528,402,bicycle
2015_00056.jpg,259,269,338,414,bicycle
2015_00056.jpg,195,256,263,400,bicycle
2015_00056.jpg,100,248,176,408,motorbike
2015_00056.jpg,6,282,111,410,motorbike
2015_00056.jpg,149,270,208,333,table
2015_00056.jpg,134,243,196,272,table
2015_00609.jpg,67,17,820,542,bicycle
2015_01071.jpg,104,5,245,245,boat
2015_01634.jpg,236,7,416,505,bottle
2015_03120.jpg,8,1,415,370,cat
2015_00850.jpg,20,453,719,821,boat
2015_01119.jpg,459,320,576,367,boat
2015_00590.JPEG,70,172,337,298,bicycle
2015_00590.JPEG,182,141,272,258,people
2015_00590.JPEG,108,163,171,255,people
2015_01563.jpg,204,21,385,577,bottle
2015_00568.jpg,269,579,432,829,bicycle
2015_01437.jpg,458,117,532,357,bottle
2015_01437.jpg,7,181,60,380,cup
2015_01437.jpg,571,142,642,336,cup
2015_01437.jpg,670,160,757,355,cup
2015_01437.jpg,665,224,764,438,cup
2015_01437.jpg,413,286,512,508,cup
2015_01437.jpg,516,323,644,425,cup
2015_01437.jpg,424,241,471,308,cup
2015_01437.jpg,227,288,287,357,cup
2015_01437.jpg,17,87,758,507,table
2015_00521.jpg,274,211,574,397,bicycle
2015_00690.jpg,13,215,540,371,boat
2015_00690.jpg,364,224,420,244,boat
2015_00690.jpg,194,228,233,252,boat
2015_00153.jpg,154,27,509,471,bicycle
2015_03335.jpg,187,89,571,283,cat
2015_03416.jpg,421,15,835,599,cat
2015_00471.jpg,293,296,403,429,bicycle
2015_00471.jpg,197,276,263,363,bicycle
2015_00471.jpg,246,277,284,338,bicycle
2015_00471.jpg,254,247,281,304,people
2015_00471.jpg,213,234,254,330,people
2015_00471.jpg,300,233,389,376,people
2015_01609.jpg,313,92,505,659,bottle
2015_03420.jpg,141,59,627,391,cat
2015_01217.jpg,307,352,375,398,boat
2015_01217.jpg,237,386,346,447,boat
2015_01217.jpg,506,331,562,371,boat
2015_01217.jpg,616,383,706,446,boat
2015_01217.jpg,671,421,846,530,boat
2015_01217.jpg,587,323,602,356,people
2015_01217.jpg,599,330,614,354,people
2015_01393.jpg,237,215,336,455,bottle
2015_01742.jpg,289,64,487,500,bottle
2015_01742.jpg,170,15,756,586,chair
2015_01288.jpg,135,305,534,492,boat
2015_01591.jpg,12,112,271,974,bottle
2015_01238.jpg,315,467,929,651,boat
2015_01472.jpg,68,5,316,638,bottle
2015_03057.jpg,82,9,885,758,cat
2015_00218.jpg,209,81,437,198,bicycle
2015_01131.jpg,39,47,135,133,boat
2015_01131.jpg,143,64,360,261,boat
2015_00199.jpg,88,122,304,473,bicycle
2015_00199.jpg,92,1,295,394,people
2015_00199.jpg,2,269,141,457,bicycle
2015_00485.jpg,39,377,319,567,bicycle
2015_00485.jpg,192,323,240,360,car
2015_00485.jpg,337,349,373,388,chair
2015_01826.jpg,334,46,487,480,bottle
2015_03471.jpg,74,57,318,392,cat
2015_00202.jpg,5,212,243,393,bicycle
2015_00202.jpg,196,205,328,301,bicycle
2015_00202.jpg,370,204,398,231,bicycle
2015_03283.jpg,346,308,400,362,cat
2015_03381.jpg,14,83,654,601,cat
2015_03678.jpg,221,10,548,434,cat
2015_01671.jpg,246,224,273,297,bottle
2015_01671.jpg,183,226,209,307,bottle
2015_01671.jpg,153,226,181,323,bottle
2015_01671.jpg,240,171,308,254,people
2015_01671.jpg,169,145,256,254,people
2015_01671.jpg,94,121,194,265,people
2015_01671.jpg,4,82,149,314,people
2015_01671.jpg,276,69,637,420,people
